x_linear_H0,y_linear_H0,x_linear_H1,y_linear_H1,x_circular_H0,y_circular_H0,x_circular_H1,y_circular_H1,x_elliptical_H0,y_elliptical_H0,x_elliptical_H1,y_elliptical_H1
-0.00016410704,0,-0.00013913138,-6.9984306e-05,-0.0001160412,-6.4553504e-05,-7.8110061e-05,-0.00010850228,-0.00014072063,-4.6969573e-05,-0.00010455509,-0.00010295143
-0.00016818898,0,-0.00014186893,-7.263338e-05,-0.00011892757,-6.7350976e-05,-7.8910518e-05,-0.00011278011,-0.00014422086,-4.9005033e-05,-0.00010607648,-0.00010697263
-0.00017229086,0,-0.00014457598,-7.5333785e-05,-0.00012182803,-7.0227902e-05,-7.9643527e-05,-0.00011715186,-0.00014773819,-5.1098304e-05,-0.00010753833,-0.00011107977
-0.00017641069,0,-0.00014724959,-7.8084919e-05,-0.0001247412,-7.3185227e-05,-8.0305931e-05,-0.00012161716,-0.00015127092,-5.3250074e-05,-0.00010893734,-0.00011527239
-0.00018054648,0,-0.00014988682,-8.0886123e-05,-0.00012766564,-7.6223878e-05,-8.0894547e-05,-0.00012617559,-0.00015481733,-5.5461018e-05,-0.00011027018,-0.00011954994
-0.00018469618,0,-0.00015248467,-8.3736684e-05,-0.00013059992,-7.9344761e-05,-8.1406176e-05,-0.00013082663,-0.00015837567,-5.7731794e-05,-0.0001115335,-0.0001239118
-0.00018885769,0,-0.00015504013,-8.6635831e-05,-0.00013354255,-8.2548765e-05,-8.1837595e-05,-0.00013556968,-0.00016194413,-6.0063049e-05,-0.00011272392,-0.00012835728
-0.00019302887,0,-0.00015755015,-8.9582735e-05,-0.00013649202,-8.5836754e-05,-8.2185566e-05,-0.00014040407,-0.00016552089,-6.2455412e-05,-0.00011383804,-0.00013288559
-0.00019720755,0,-0.00016001166,-9.2576512e-05,-0.00013944679,-8.9209573e-05,-8.2446837e-05,-0.00014532904,-0.00016910408,-6.4909499e-05,-0.00011487243,-0.00013749589
-0.00020139151,0,-0.00016242158,-9.5616217e-05,-0.0001424053,-9.2668044e-05,-8.2618137e-05,-0.00015034375,-0.00017269179,-6.7425906e-05,-0.00011582367,-0.00014218724
-0.00020557849,0,-0.00016477678,-9.8700848e-05,-0.00014536595,-9.6212965e-05,-8.2696188e-05,-0.00015544726,-0.0001762821,-7.0005215e-05,-0.00011668828,-0.0001469586
-0.0002097662,0,-0.00016707413,-0.00010182934,-0.0001483271,-9.9845111e-05,-8.2677698e-05,-0.00016063856,-0.00017987303,-7.2647989e-05,-0.00011746281,-0.0001518089
-0.00021395229,0,-0.00016931047,-0.00010500059,-0.00015128712,-0.00010356523,-8.2559368e-05,-0.00016591655,-0.00018346258,-7.5354775e-05,-0.00011814378,-0.00015673693
-0.00021813439,0,-0.00017148264,-0.00010821339,-0.00015424431,-0.00010737405,-8.2337892e-05,-0.00017128004,-0.00018704869,-7.8126098e-05,-0.00011872768,-0.00016174142
-0.00022231007,0,-0.00017358743,-0.00011146652,-0.00015719696,-0.00011127227,-8.2009959e-05,-0.00017672776,-0.00019062931,-8.0962466e-05,-0.00011921101,-0.00016682103
-0.00022647688,0,-0.00017562164,-0.00011475868,-0.00016014334,-0.00011526055,-8.1572256e-05,-0.00018225833,-0.00019420232,-8.3864369e-05,-0.00011959026,-0.00017197431
-0.00023063231,0,-0.00017758205,-0.00011808849,-0.00016308167,-0.00011933955,-8.1021468e-05,-0.0001878703,-0.00019776558,-8.6832274e-05,-0.00011986192,-0.00017719974
-0.00023477384,0,-0.00017946543,-0.00012145455,-0.00016601018,-0.00012350987,-8.0354281e-05,-0.00019356211,-0.00020131691,-8.9866627e-05,-0.00012002246,-0.00018249569
-0.00023889889,0,-0.00018126854,-0.00012485537,-0.00016892703,-0.0001277721,-7.9567386e-05,-0.00019933214,-0.00020485411,-9.2967856e-05,-0.00012006837,-0.00018786047
-0.00024300485,0,-0.00018298812,-0.0001282894,-0.00017183038,-0.00013212679,-7.8657479e-05,-0.00020517864,-0.00020837494,-9.6136364e-05,-0.00011999613,-0.00019329229
-0.00024708907,0,-0.00018462091,-0.00013175504,-0.00017471836,-0.00013657448,-7.7621261e-05,-0.00021109979,-0.00021187713,-9.9372532e-05,-0.00011980221,-0.00019878926
-0.00025114887,0,-0.00018616366,-0.00013525062,-0.00017758907,-0.00014111565,-7.6455446e-05,-0.00021709367,-0.00021535838,-0.00010267672,-0.00011948312,-0.00020434942
-0.00025518152,0,-0.00018761308,-0.00013877441,-0.00018044058,-0.00014575077,-7.5156757e-05,-0.00022315826,-0.00021881635,-0.00010604926,-0.00011903533,-0.00020997072
-0.00025918427,0,-0.00018896592,-0.00014232463,-0.00018327096,-0.00015048026,-7.3721934e-05,-0.00022929147,-0.00022224868,-0.00010949047,-0.00011845536,-0.00021565099
-0.00026315434,0,-0.00019021889,-0.00014589941,-0.00018607822,-0.00015530451,-7.2147729e-05,-0.00023549107,-0.00022565299,-0.00011300063,-0.00011773973,-0.00022138801
-0.00026708889,0,-0.00019136874,-0.00014949685,-0.00018886037,-0.00016022389,-7.0430916e-05,-0.00024175478,-0.00022902684,-0.00011658,-0.00011688496,-0.00022717944
-0.00027098508,0,-0.00019241219,-0.00015311498,-0.00019161539,-0.00016523871,-6.8568289e-05,-0.0002480802,-0.00023236779,-0.00012022882,-0.0001158876,-0.00023302287
-0.00027484,0,-0.00019334599,-0.00015675175,-0.00019434123,-0.00017034927,-6.6556663e-05,-0.00025446484,-0.00023567336,-0.0001239473,-0.00011474421,-0.00023891577
-0.00027865075,0,-0.00019416688,-0.00016040506,-0.00019703583,-0.00017555581,-6.4392882e-05,-0.0002609061,-0.00023894104,-0.00012773562,-0.00011345139,-0.00024485556
-0.00028241436,0,-0.00019487161,-0.00016407277,-0.00019969711,-0.00018085855,-6.2073814e-05,-0.00026740131,-0.00024216831,-0.00013159393,-0.00011200575,-0.00025083953
-0.00028612785,0,-0.00019545696,-0.00016775264,-0.00020232294,-0.00018625767,-5.959636e-05,-0.00027394768,-0.00024535261,-0.00013552236,-0.00011040391,-0.00025686489
-0.00028978822,0,-0.00019591971,-0.00017144239,-0.00020491121,-0.00019175329,-5.6957451e-05,-0.00028054233,-0.00024849135,-0.00013952101,-0.00010864254,-0.00026292878
