a0,H0,Q
14.89129,0.007518797,0.001545519
15.151343,0.007518797,0.0015540071
15.415937,0.007518797,0.0015623921
15.685152,0.007518797,0.0015706745
15.959068,0.007518797,0.0015788549
16.237767,0.007518797,0.0015869339
16.521334,0.007518797,0.0015949119
16.809853,0.007518797,0.0016027897
17.10341,0.007518797,0.0016105679
17.402094,0.007518797,0.001618247
17.705994,0.007518797,0.0016258278
18.0152,0.007518797,0.0016333109
18.329807,0.007518797,0.001640697
18.649908,0.007518797,0.0016479869
18.975599,0.007518797,0.0016551813
19.306977,0.007518797,0.0016622808
19.644143,0.007518797,0.0016692864
19.987196,0.007518797,0.0016761987
20.336241,0.007518797,0.0016830185
20.691381,0.007518797,0.0016897465
21.052723,0.007518797,0.0016963837
21.420375,0.007518797,0.0017029308
21.794448,0.007518797,0.0017093886
22.175053,0.007518797,0.0017157579
22.562305,0.007518797,0.0017220396
22.956319,0.007518797,0.0017282344
23.357215,0.007518797,0.0017343433
23.765111,0.007518797,0.0017403671
24.180131,0.007518797,0.0017463066
24.602398,0.007518797,0.0017521626
25.03204,0.007518797,0.0017579361
25.469184,0.007518797,0.0017636278
25.913963,0.007518797,0.0017692387
26.366509,0.007518797,0.0017747696
26.826958,0.007518797,0.0017802214
27.295448,0.007518797,0.0017855949
27.772119,0.007518797,0.0017908909
28.257115,0.007518797,0.0017961104
28.75058,0.007518797,0.0018012542
29.252663,0.007518797,0.0018063232
29.763514,0.007518797,0.0018113182
30.283287,0.007518797,0.0018162401
30.812136,0.007518797,0.0018210897
31.350221,0.007518797,0.0018258679
31.897702,0.007518797,0.0018305756
32.454745,0.007518797,0.0018352135
33.021515,0.007518797,0.0018397825
33.598183,0.007518797,0.0018442835
34.184921,0.007518797,0.0018487174
34.781907,0.007518797,0.0018530848
35.389317,0.007518797,0.0018573867
36.007335,0.007518797,0.0018616239
36.636145,0.007518797,0.0018657972
37.275937,0.007518797,0.0018699074
37.926902,0.007518797,0.0018739553
38.589235,0.007518797,0.0018779417
39.263134,0.007518797,0.0018818675
39.948802,0.007518797,0.0018857333
40.646444,0.007518797,0.0018895401
41.356269,0.007518797,0.0018932885
42.07849,0.007518797,0.0018969794
42.813324,0.007518797,0.0019006135
43.56099,0.007518797,0.0019041916
44.321713,0.007518797,0.0019077145
45.095721,0.007518797,0.0019111828
45.883246,0.007518797,0.0019145973
46.684524,0.007518797,0.0019179588
47.499794,0.007518797,0.001921268
48.329302,0.007518797,0.0019245256
49.173296,0.007518797,0.0019277324
50.03203,0.007518797,0.001930889
50.905759,0.007518797,0.0019339961
51.794747,0.007518797,0.0019370544
52.699259,0.007518797,0.0019400647
53.619568,0.007518797,0.0019430276
54.555948,0.007518797,0.0019459437
55.50868,0.007518797,0.0019488138
56.478051,0.007518797,0.0019516385
57.46435,0.007518797,0.0019544185
58.467873,0.007518797,0.0019571543
59.488921,0.007518797,0.0019598467
60.5278,0.007518797,0.0019624962
61.584821,0.007518797,0.0019651036
62.660302,0.007518797,0.0019676694
63.754564,0.007518797,0.0019701941
64.867935,0.007518797,0.0019726785
66.00075,0.007518797,0.0019751232
67.153348,0.007518797,0.0019775286
68.326074,0.007518797,0.0019798954
69.51928,0.007518797,0.0019822242
70.733323,0.007518797,0.0019845155
71.968567,0.007518797,0.0019867699
73.225383,0.007518797,0.0019889879
74.504148,0.007518797,0.0019911701
75.805244,0.007518797,0.0019933171
77.129061,0.007518797,0.0019954293
78.475997,0.007518797,0.0019975073
79.846455,0.007518797,0.0019995516
81.240846,0.007518797,0.0020015628
82.659587,0.007518797,0.0020035413
84.103105,0.007518797,0.0020054875
85.571831,0.007518797,0.0020074022
87.066207,0.007518797,0.0020092856
88.586679,0.007518797,0.0020111383
90.133704,0.007518797,0.0020129608
91.707745,0.007518797,0.0020147534
93.309274,0.007518797,0.0020165168
94.938772,0.007518797,0.0020182513
96.596726,0.007518797,0.0020199575
98.283633,0.007518797,0.0020216356
100,0.007518797,0.0020232862
0.1,0.015037594,1.052101e-54
0.10174634,0.015037594,2.767643e-53
0.10352318,0.015037594,6.5970141e-52
0.10533104,0.015037594,1.4293349e-50
0.10717048,0.015037594,2.8235109e-49
