eV_LT,dW_LT,eV_WNL,dW_WNL,eV_UR,dW_UR
5.8694603,0.015830265,950.58142,0.012743973,901392.63,0.012854721
6.0412874,0.013890579,978.40947,0.011176339,927780.69,0.011273656
6.2181447,0.012142202,1007.0522,0.0097644131,954941.26,0.0098495807
6.4001795,0.010572347,1036.5334,0.0084975717,982896.95,0.0085718294
6.5875433,0.0091683679,1066.8777,0.0073653949,1011671,0.0074298694
6.7803921,0.0079178588,1098.1103,0.0063576906,1041287.5,0.0064134311
6.9788866,0.0068087286,1130.2572,0.0054644974,1071770.9,0.0055124957
7.1831919,0.0058292339,1163.3452,0.0046762184,1103146.8,0.0047173539
7.3934782,0.0049680843,1197.4019,0.0039835989,1135441.1,0.004018703
7.6099206,0.004214441,1232.4556,0.0033778196,1168680.9,0.0034076307
7.8326993,0.0035581319,1268.5354,0.0028505848,1202893.8,0.0028757743
8.0619998,0.0029893074,1305.6715,0.0023938793,1238108.2,0.0024150748
8.298013,0.0024987409,1343.8948,0.0020002223,1274353.6,0.0020179566
8.5409354,0.0020778262,1383.237,0.001662634,1311660,0.001677393
8.7909694,0.0017185718,1423.7309,0.0013746481,1350058.5,0.0013868718
9.048323,0.0014136104,1465.4103,0.0011302996,1389581.2,0.0011403641
9.3132106,0.001156176,1508.3099,0.00092413005,1430260.9,0.00093237036
9.5858527,0.00094011056,1552.4653,0.0007511718,1472131.4,0.00075787767
9.8664764,0.00075983715,1597.9134,0.00060692595,1515227.7,0.00061235402
10.155315,0.00061034181,1644.6919,0.00048735698,1559585.7,0.00049171938
10.45261,0.00048714325,1692.8399,0.00038886253,1605242.2,0.00039234905
10.758608,0.00038627044,1742.3974,0.00030824664,1652235.3,0.00031101455
11.073563,0.00030422411,1793.4057,0.0002427033,1700604.1,0.00024488437
11.397739,0.00023794578,1845.9072,0.00018977369,1750388.9,0.00019148198
11.731406,0.00018478011,1899.9457,0.00014733155,1801631.1,0.00014865922
12.07484,0.00014244106,1955.5662,0.00011354328,1854373.5,0.00011456812
12.428328,0.00010897424,2012.815,8.6844487e-05,1908659.9,8.7628622e-05
12.792164,8.2722544e-05,2071.7397,6.5907518e-05,1964535.4,6.6503858e-05
13.166652,6.2292542e-05,2132.3894,4.9618873e-05,2022046.8,5.0068274e-05
13.552103,4.6522052e-05,2194.8146,3.7048746e-05,2081241.7,3.7384517e-05
13.948838,3.444967e-05,2259.0673,2.7428614e-05,2142169.6,2.7677712e-05
14.357187,2.5287567e-05,2325.201,2.0129709e-05,2204881.1,2.0312716e-05
14.77749,1.839545e-05,2393.2707,1.46405e-05,2269428.5,1.4773691e-05
15.210098,1.3258109e-05,2463.3332,1.054981e-05,2335865.5,1.064594e-05
15.65537,9.4645165e-06,2535.4467,7.5298072e-06,2404247.5,7.5984873e-06
16.113677,6.6902213e-06,2609.6713,5.3217129e-06,2474631.2,5.37029e-06
16.585402,4.6814376e-06,2686.0688,3.723209e-06,2547075.5,3.7572577e-06
17.070935,3.2417652e-06,2764.7029,2.5778322e-06,2621640.6,2.6014181e-06
17.570683,2.2208312e-06,2845.6389,1.7657234e-06,2698388.5,1.7819018e-06
18.085061,1.5046609e-06,2928.9444,1.1961474e-06,2777383.2,1.2071269e-06
18.614497,1.0078755e-06,3014.6886,8.0111889e-07,2858690.5,8.0847179e-07
19.159432,6.6722611e-07,3102.9429,5.3028256e-07,2942378,5.3515961e-07
19.72032,4.3639769e-07,3193.7808,3.4679005e-07,3028515.4,3.4998113e-07
20.297628,2.8188901e-07,3287.278,2.2398289e-07,3117174.5,2.2604628e-07
20.891836,1.7976094e-07,3383.5123,1.4281818e-07,3208429.1,1.4413575e-07
21.50344,1.13126e-07,3482.5639,8.9869238e-08,3302355.1,9.0698439e-08
22.132949,7.0227598e-08,3584.5152,5.5784563e-08,3399030.8,5.630053e-08
22.780886,4.2988138e-08,3689.451,3.4144505e-08,3498536.7,3.4460462e-08
23.447791,2.5935795e-08,3797.4589,2.0598654e-08,3600955.6,2.078948e-08
24.13422,1.5416704e-08,3908.6286,1.2243337e-08,3706372.7,1.235687e-08
24.840743,9.0309051e-09,4023.0528,7.171531e-09,3814875.9,7.2380173e-09
25.56795,5.2101334e-09,4140.8268,4.1371707e-09,3926555.6,4.1755961e-09
26.316446,2.9587422e-09,4262.0485,2.3492957e-09,4041504.6,2.371161e-09
27.086854,1.6530766e-09,4386.8191,1.312524e-09,4159818.7,1.3247439e-09
27.879816,9.0821567e-10,4515.2422,7.2108718e-10,4281596.4,7.2780887e-10
