theta,q3_over_t,dq3
2.4992077,-0.0054006998,0.98659321
2.5030025,-0.0053517382,0.98669391
2.5067973,-0.0053032326,0.98679385
2.5105922,-0.0052551786,0.98689304
2.514387,-0.0052075721,0.9869915
2.5181818,-0.0051604086,0.98708922
2.5219766,-0.0051136838,0.98718621
2.5257715,-0.0050673936,0.98728248
2.5295663,-0.0050215338,0.98737803
2.5333611,-0.0049761002,0.98747287
2.537156,-0.0049310888,0.987567
2.5409508,-0.0048864955,0.98766042
2.5447456,-0.0048423163,0.98775315
2.5485405,-0.0047985472,0.98784518
2.5523353,-0.0047551842,0.98793653
2.5561301,-0.0047122236,0.98802719
2.5599249,-0.0046696614,0.98811718
2.5637198,-0.0046274938,0.9882065
2.5675146,-0.004585717,0.98829515
2.5713094,-0.0045443273,0.98838313
2.5751043,-0.0045033211,0.98847046
2.5788991,-0.0044626945,0.98855713
2.5826939,-0.0044224441,0.98864316
2.5864887,-0.0043825661,0.98872855
2.5902836,-0.0043430571,0.98881329
2.5940784,-0.0043039136,0.9888974
2.5978732,-0.0042651319,0.98898089
2.6016681,-0.0042267088,0.98906375
2.6054629,-0.0041886407,0.98914599
2.6092577,-0.0041509243,0.98922761
2.6130525,-0.0041135562,0.98930862
2.6168474,-0.0040765331,0.98938903
2.6206422,-0.0040398517,0.98946884
2.624437,-0.0040035088,0.98954805
2.6282319,-0.0039675012,0.98962666
2.6320267,-0.0039318256,0.98970469
2.6358215,-0.0038964789,0.98978214
2.6396163,-0.003861458,0.989859
2.6434112,-0.0038267598,0.98993529
2.647206,-0.0037923812,0.99001101
2.6510008,-0.0037583191,0.99008616
2.6547957,-0.0037245707,0.99016075
2.6585905,-0.0036911328,0.99023478
2.6623853,-0.0036580026,0.99030826
2.6661802,-0.0036251771,0.99038118
2.669975,-0.0035926535,0.99045356
2.6737698,-0.0035604289,0.9905254
2.6775646,-0.0035285004,0.9905967
2.6813595,-0.0034968652,0.99066747
2.6851543,-0.0034655207,0.9907377
2.6889491,-0.003434464,0.99080741
2.692744,-0.0034036923,0.9908766
2.6965388,-0.0033732031,0.99094527
2.7003336,-0.0033429936,0.99101342
2.7041284,-0.0033130612,0.99108107
2.7079233,-0.0032834033,0.99114821
2.7117181,-0.0032540173,0.99121484
2.7155129,-0.0032249006,0.99128097
2.7193078,-0.0031960507,0.99134661
2.7231026,-0.0031674651,0.99141176
2.7268974,-0.0031391412,0.99147642
2.7306922,-0.0031110766,0.99154059
2.7344871,-0.0030832689,0.99160428
2.7382819,-0.0030557156,0.9916675
